Account 12:20:40.637 [pool-3-thread-1] ERROR org.jsxm.jsxmcore.util.XML - IOException : No 'definitions.xml' file. Continue with no definitions.
Account 12:20:40.645 [pool-3-thread-1] INFO  org.jsxm.jsxmcore.core.SXMBaseGeneration - TYPES USED in the specification: 
Account 12:20:41.225 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 47 : [open,deposit,withdraw0,withdrawN] 
Account 12:20:41.225 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 48 : [open,deposit,withdraw0,withdraw0] 
Account 12:20:41.225 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 49 : [open,readbalance,close,withdrawN] 
Account 12:20:41.225 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 50 : [open,readbalance,close,withdraw0] 
Account 12:20:41.225 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 51 : [open,readbalance,close,readbalance] 
Account 12:20:41.225 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 52 : [open,readbalance,readbalance,withdrawN] 
Account 12:20:41.225 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 53 : [open,readbalance,readbalance,withdraw0] 
Account 12:20:41.225 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 54 : [open,deposit,deposit,deposit,open] 
Account 12:20:41.226 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 55 : [open,deposit,deposit,deposit,close] 
Account 12:20:41.226 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 56 : [open,deposit,deposit,deposit,deposit] 
Account 12:20:41.226 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 57 : [open,deposit,deposit,withdrawN,open] 
Account 12:20:41.226 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 58 : [open,deposit,deposit,withdrawN,close] 
Account 12:20:41.226 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 59 : [open,deposit,deposit,withdrawN,deposit] 
Account 12:20:41.226 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 60 : [open,deposit,deposit,withdraw0,open] 
Account 12:20:41.226 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 61 : [open,deposit,deposit,withdraw0,close] 
Account 12:20:41.226 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 62 : [open,deposit,deposit,withdraw0,deposit] 
Account 12:20:41.226 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 63 : [open,deposit,deposit,readbalance,open] 
Account 12:20:41.226 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 64 : [open,deposit,deposit,readbalance,close] 
Account 12:20:41.226 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 65 : [open,deposit,deposit,readbalance,deposit] 
Account 12:20:41.226 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 66 : [open,deposit,withdrawN,deposit,open] 
Account 12:20:41.226 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 67 : [open,deposit,withdrawN,deposit,close] 
Account 12:20:41.226 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 68 : [open,deposit,withdrawN,deposit,deposit] 
Account 12:20:41.226 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 69 : [open,deposit,withdrawN,withdrawN,open] 
Account 12:20:41.226 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 70 : [open,deposit,withdrawN,withdrawN,close] 
Account 12:20:41.226 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 71 : [open,deposit,withdrawN,withdrawN,deposit] 
Account 12:20:41.227 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 72 : [open,deposit,withdrawN,withdraw0,open] 
Account 12:20:41.227 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 73 : [open,deposit,withdrawN,withdraw0,close] 
Account 12:20:41.227 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 74 : [open,deposit,withdrawN,withdraw0,deposit] 
Account 12:20:41.227 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 75 : [open,deposit,withdrawN,readbalance,open] 
Account 12:20:41.227 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 76 : [open,deposit,withdrawN,readbalance,close] 
Account 12:20:41.227 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 77 : [open,deposit,withdrawN,readbalance,deposit] 
Account 12:20:41.227 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 78 : [open,deposit,withdraw0,close,open] 
Account 12:20:41.227 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 79 : [open,deposit,withdraw0,close,close] 
Account 12:20:41.227 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 80 : [open,deposit,withdraw0,close,deposit] 
Account 12:20:41.227 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 81 : [open,deposit,withdraw0,deposit,open] 
Account 12:20:41.227 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 82 : [open,deposit,withdraw0,deposit,close] 
Account 12:20:41.227 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 83 : [open,deposit,withdraw0,deposit,deposit] 
Account 12:20:41.227 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 84 : [open,deposit,withdraw0,readbalance,open] 
Account 12:20:41.227 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 85 : [open,deposit,withdraw0,readbalance,close] 
Account 12:20:41.227 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 86 : [open,deposit,withdraw0,readbalance,deposit] 
Account 12:20:41.228 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 87 : [open,deposit,readbalance,deposit,open] 
Account 12:20:41.228 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 88 : [open,deposit,readbalance,deposit,close] 
Account 12:20:41.228 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 89 : [open,deposit,readbalance,deposit,deposit] 
Account 12:20:41.228 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 90 : [open,deposit,readbalance,withdrawN,open] 
Account 12:20:41.228 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 91 : [open,deposit,readbalance,withdrawN,close] 
Account 12:20:41.228 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 92 : [open,deposit,readbalance,withdrawN,deposit] 
Account 12:20:41.228 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 93 : [open,deposit,readbalance,withdraw0,open] 
Account 12:20:41.228 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 94 : [open,deposit,readbalance,withdraw0,close] 
Account 12:20:41.228 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 95 : [open,deposit,readbalance,withdraw0,deposit] 
Account 12:20:41.228 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 96 : [open,deposit,readbalance,readbalance,open] 
Account 12:20:41.228 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 97 : [open,deposit,readbalance,readbalance,close] 
Account 12:20:41.228 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 98 : [open,deposit,readbalance,readbalance,deposit] 
Account 12:20:41.228 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 99 : [open,readbalance,deposit,deposit,open] 
Account 12:20:41.228 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 100 : [open,readbalance,deposit,deposit,close] 
Account 12:20:41.228 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 101 : [open,readbalance,deposit,deposit,deposit] 
Account 12:20:41.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 102 : [open,readbalance,deposit,withdrawN,open] 
Account 12:20:41.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 103 : [open,readbalance,deposit,withdrawN,close] 
Account 12:20:41.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 104 : [open,readbalance,deposit,withdrawN,deposit] 
Account 12:20:41.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 105 : [open,readbalance,deposit,withdraw0,open] 
Account 12:20:41.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 106 : [open,readbalance,deposit,withdraw0,close] 
Account 12:20:41.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 107 : [open,readbalance,deposit,withdraw0,deposit] 
Account 12:20:41.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 108 : [open,readbalance,deposit,readbalance,open] 
Account 12:20:41.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 109 : [open,readbalance,deposit,readbalance,close] 
Account 12:20:41.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 110 : [open,readbalance,deposit,readbalance,deposit] 
Account 12:20:41.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 111 : [open,readbalance,readbalance,close,open] 
Account 12:20:41.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 112 : [open,readbalance,readbalance,close,close] 
Account 12:20:41.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 113 : [open,readbalance,readbalance,close,deposit] 
Account 12:20:41.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 114 : [open,readbalance,readbalance,deposit,open] 
Account 12:20:41.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 115 : [open,readbalance,readbalance,deposit,close] 
Account 12:20:41.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 116 : [open,readbalance,readbalance,deposit,deposit] 
Account 12:20:41.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 117 : [open,readbalance,readbalance,readbalance,open] 
Account 12:20:41.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 118 : [open,readbalance,readbalance,readbalance,close] 
Account 12:20:41.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 119 : [open,readbalance,readbalance,readbalance,deposit] 
Account 12:20:41.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 120 : [open,deposit,deposit,withdraw0,withdrawN] 
Account 12:20:41.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 121 : [open,deposit,deposit,withdraw0,withdraw0] 
Account 12:20:41.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 122 : [open,deposit,withdrawN,withdraw0,withdrawN] 
Account 12:20:41.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 123 : [open,deposit,withdrawN,withdraw0,withdraw0] 
Account 12:20:41.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 124 : [open,deposit,withdraw0,close,withdrawN] 
Account 12:20:41.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 125 : [open,deposit,withdraw0,close,withdraw0] 
Account 12:20:41.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 126 : [open,deposit,withdraw0,close,readbalance] 
Account 12:20:41.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 127 : [open,deposit,withdraw0,readbalance,withdrawN] 
Account 12:20:41.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 128 : [open,deposit,withdraw0,readbalance,withdraw0] 
Account 12:20:41.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 129 : [open,deposit,readbalance,withdraw0,withdrawN] 
Account 12:20:41.230 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 130 : [open,deposit,readbalance,withdraw0,withdraw0] 
Account 12:20:41.230 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 131 : [open,deposit,deposit,deposit,deposit,open] 
Account 12:20:41.230 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 132 : [open,deposit,deposit,deposit,deposit,close] 
Account 12:20:41.230 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 133 : [open,deposit,deposit,deposit,deposit,deposit] 
Account 12:20:41.230 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 134 : [open,deposit,deposit,deposit,withdrawN,open] 
Account 12:20:41.230 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 135 : [open,deposit,deposit,deposit,withdrawN,close] 
Account 12:20:41.230 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 136 : [open,deposit,deposit,deposit,withdrawN,deposit] 
Account 12:20:41.230 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 137 : [open,deposit,deposit,deposit,withdraw0,open] 
Account 12:20:41.230 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 138 : [open,deposit,deposit,deposit,withdraw0,close] 
Account 12:20:41.230 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 139 : [open,deposit,deposit,deposit,withdraw0,deposit] 
